"filename", "language", "Swift", "C++", "JSON", "XML", "YAML", "Markdown", "Dart", "HTML", "Properties", "Gradle", "comment", "blank", "total"
"g:\flutter_projects\e_learning\lib\features\intro\ui\widgets\title_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 2, 18
"g:\flutter_projects\e_learning\lib\features\layout\home\data\models\notifications_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 3, 47
"g:\flutter_projects\e_learning\lib\features\layout\home\ui\views\home_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 3, 13
"g:\flutter_projects\e_learning\lib\features\layout\home\ui\views\notifications_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 4, 26
"g:\flutter_projects\e_learning\lib\features\layout\home\ui\widgets\notifications_item.dart", "Dart", 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 2, 64
"g:\flutter_projects\e_learning\lib\features\layout\inbox\ui\views\inbox_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 4, 52
"g:\flutter_projects\e_learning\lib\features\layout\inbox\ui\widgets\chat_column.dart", "Dart", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 2, 31
"g:\flutter_projects\e_learning\lib\features\layout\inbox\ui\widgets\custom_row.dart", "Dart", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 2, 26
"g:\flutter_projects\e_learning\lib\features\layout\inbox\ui\widgets\inbox_item.dart", "Dart", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 4, 41
"g:\flutter_projects\e_learning\lib\features\layout\inbox\ui\widgets\inbox_item_list_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 2, 24
"g:\flutter_projects\e_learning\lib\features\layout\inbox\ui\widgets\mort_container.dart", "Dart", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 3, 25
"g:\flutter_projects\e_learning\lib\features\layout\inbox\ui\widgets\small_container.dart", "Dart", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 3, 27
