"filename", "language", "C++", "Dart", "JSON", "Markdown", "Swift", "HTML", "YAML", "XML", "Properties", "Gradle", "comment", "blank", "total"
"g:\flutter_projects\e_learning\lib\features\layout\inbox\ui\widgets\image_avatar.dart", "Dart", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 26
"g:\flutter_projects\e_learning\lib\features\layout\inbox\ui\widgets\inbox_item.dart", "Dart", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 33
"g:\flutter_projects\e_learning\lib\features\layout\inbox\ui\widgets\inbox_item_list_view.dart", "Dart", 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 59
"g:\flutter_projects\e_learning\lib\features\layout\inbox\ui\widgets\inbox_view_body.dart", "Dart", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 30
"g:\flutter_projects\e_learning\lib\features\layout\inbox\ui\widgets\message_item.dart", "Dart", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31
"g:\flutter_projects\e_learning\lib\features\layout\inbox\ui\widgets\num_of_messages_container.dart", "Dart", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"g:\flutter_projects\e_learning\lib\features\layout\my_courses\cubits\my_courses_cubit.dart", "Dart", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 55
"g:\flutter_projects\e_learning\lib\features\layout\my_courses\cubits\my_courses_state.dart", "Dart", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"g:\flutter_projects\e_learning\lib\features\layout\my_courses\ui\views\course_content_view.dart", "Dart", 0, 161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 170
"g:\flutter_projects\e_learning\lib\features\layout\my_courses\ui\views\course_view.dart", "Dart", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"g:\flutter_projects\e_learning\lib\features\layout\my_courses\ui\views\my_courses_view.dart", "Dart", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 36
"g:\flutter_projects\e_learning\lib\features\layout\my_courses\ui\views\payment_details.dart", "Dart", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"g:\flutter_projects\e_learning\lib\features\layout\my_courses\ui\views\payment_method_view.dart", "Dart", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 61
"g:\flutter_projects\e_learning\lib\features\layout\my_courses\ui\views\payment_view.dart", "Dart", 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 63
"g:\flutter_projects\e_learning\lib\features\layout\my_courses\ui\views\transaction_view.dart", "Dart", 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 65
"g:\flutter_projects\e_learning\lib\features\layout\my_courses\ui\widgets\background_container.dart", "Dart", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"g:\flutter_projects\e_learning\lib\features\layout\my_courses\ui\widgets\course_channel.dart", "Dart", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 42
"g:\flutter_projects\e_learning\lib\features\layout\my_courses\ui\widgets\course_details.dart", "Dart", 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 76
"g:\flutter_projects\e_learning\lib\features\layout\my_courses\ui\widgets\course_head_text.dart", "Dart", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"g:\flutter_projects\e_learning\lib\features\layout\my_courses\ui\widgets\course_image.dart", "Dart", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 27
"g:\flutter_projects\e_learning\lib\features\layout\my_courses\ui\widgets\course_info.dart", "Dart", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 31
"g:\flutter_projects\e_learning\lib\features\layout\my_courses\ui\widgets\course_name.dart", "Dart", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 33
